coffee_type,rating,weight_formatted_to_gramms
"colombian,arabica,medium-dark roast,dark roast",4.4,340.2
medium roast,4.9,680.4
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"espresso,dark roast",4.8,453.6
medium roast,4.7,680.4
"arabica,medium roast",4.4,340.2
"colombian,arabica,medium-dark roast,dark roast",2.1,700.2
medium roast,4.7,311.8
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"instant coffee,arabica,dark roast",4.5,1134.0
dark roast,4.7,680.4
"french,french roast,arabica,dark roast",3.2,700.2
caramel,4.2,425.2
medium roast,4.6,680.4
"medium roast,black rifle coffee",3.7,300.5
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
french,4.7,680.4
"espresso,espresso roast",5.0,396.9
medium roast,4.9,680.4
dark roast,4.7,510.3
mocha,4.6,204.1
medium roast,4.8,850.5
medium roast,4.5,734.3
"caramel,light roast",4.3,680.4
"medium roast,black rifle coffee",5.0,623.7
light roast,4.7,680.4
"cappuccino,mocha,medium roast",4.6,453.6
medium roast,4.8,340.2
dark roast,4.6,907.2
medium roast,4.6,680.4
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
"colombian,medium roast",3.7,272.2
dark roast,4.7,297.7
"black silk ground coffee,dark roast",4.0,272.2
"italian,italian roast,dark roast",4.6,510.3
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.6,680.4
"colombian,medium roast",4.5,297.7
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
light roast,4.6,311.8
"caramel,medium roast",4.6,283.5
medium roast,4.6,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.6,1360.8
"black rifle coffee,dark roast",3.0,340.2
"medium-dark roast,dark roast",4.7,340.2
"light roast,black rifle coffee",3.8,340.2
light roast,4.8,907.2
medium roast,4.8,850.5
medium roast,4.5,734.3
dark roast,5.0,680.4
"caramel,light roast",4.9,340.2
medium roast,4.5,297.7
"espresso,medium roast",4.9,249.5
espresso,4.3,283.5
"black rifle coffee,dark roast",0.0,623.7
medium roast,4.5,320.3
light roast,4.6,680.4
"french,french roast,dark roast",4.7,297.7
light roast,4.5,680.4
medium roast,4.6,283.5
mocha,3.0,311.8
"espresso,mocha,iced coffee",4.5,1134.0
"mocha,medium roast",4.6,340.2
medium roast,4.7,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"arabica,medium roast",4.5,567.0
"french,french roast,dark roast",4.2,680.4
medium roast,4.8,680.4
"french,french roast,medium-dark roast,dark roast",0.0,640.7
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"medium roast,black rifle coffee",3.7,340.2
medium roast,4.7,283.5
medium roast,4.4,297.7
medium roast,4.5,694.6
"black rifle coffee,dark roast",0.0,340.2
dark roast,4.7,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"black rifle coffee,dark roast",4.3,340.2
"french,dark roast",4.8,340.2
cappuccino,4.3,340.2
"arabica,medium roast",4.4,481.9
espresso,4.6,283.5
"french,arabica,medium roast",4.5,340.2
"medium-dark roast,dark roast",4.0,283.5
medium roast,4.8,850.5
medium roast,4.5,734.3
"medium roast,black rifle coffee",5.0,623.7
medium roast,4.6,680.4
"medium roast,black rifle coffee",0.0,623.7
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
"mocha,light roast",4.1,680.4
medium roast,4.8,340.2
"espresso,arabica,medium roast",4.6,283.5
medium roast,4.8,680.4
dark roast,5.0,340.2
dark roast,4.7,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,4.7,340.2
"medium-dark roast,dark roast",4.8,680.4
espresso,4.4,453.6
"medium roast,black rifle coffee",5.0,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,3.8,340.2
"canned coffee,classic roast",4.8,623.7
"colombian,medium-dark roast,dark roast",4.6,340.2
medium roast,4.9,652.0
colombian,4.6,623.7
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"colombian,medium roast",4.6,680.4
light roast,4.5,297.7
"espresso,ristretto",4.5,283.5
medium roast,4.5,680.4
dark roast,4.6,510.3
dark roast,4.6,297.7
medium roast,4.0,510.3
espresso,4.4,283.5
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.7,680.4
medium roast,4.8,907.2
caramel,0.0,340.2
espresso,4.5,283.5
dark roast,4.5,297.7
medium roast,4.6,793.8
medium roast,4.2,680.4
"espresso,dark roast",4.7,283.5
medium roast,4.9,907.2
medium roast,4.8,340.2
colombian,4.8,1048.9
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
medium roast,4.8,311.8
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
dark roast,4.5,70.9
"mocha,arabica",4.4,481.9
"french,french roast",4.8,680.4
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
cappuccino,4.1,340.2
espresso,3.5,283.5
caramel,3.6,453.6
cold brew coffee,4.5,907.2
"espresso,dark roast",4.7,283.5
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.8,249.5
"french,french roast,dark roast",4.6,297.7
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"french,french roast,dark roast",4.7,340.2
"black rifle coffee,dark roast",0.0,623.7
medium roast,4.3,978.1
medium roast,4.8,425.2
french,4.8,680.4
"light roast,black rifle coffee",0.0,340.2
light roast,4.7,283.5
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.6,297.7
light roast,4.6,2381.4
medium roast,4.8,453.6
dark roast,4.7,793.8
light roast,4.3,311.8
"espresso,dark roast",4.4,249.5
medium roast,4.8,850.5
medium roast,4.5,734.3
"italian,italian roast,dark roast",4.7,340.2
light roast,4.4,340.2
iced coffee,4.6,680.4
medium roast,4.7,907.2
"black rifle coffee,dark roast",0.0,623.7
"black rifle coffee,dark roast",0.0,340.2
light roast,4.4,311.8
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
